"Notes"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Jan., 2004"	"2004/01"	6654	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	5510	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	5227	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	4893	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	4629	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	4604	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	4722	Not Applicable	Not Applicable
	"Aug., 2004"	"2004/08"	4787	Not Applicable	Not Applicable
	"Sep., 2004"	"2004/09"	4659	Not Applicable	Not Applicable
	"Oct., 2004"	"2004/10"	5146	Not Applicable	Not Applicable
	"Nov., 2004"	"2004/11"	5049	Not Applicable	Not Applicable
	"Dec., 2004"	"2004/12"	5644	Not Applicable	Not Applicable
	"Jan., 2005"	"2005/01"	6783	Not Applicable	Not Applicable
	"Feb., 2005"	"2005/02"	6593	Not Applicable	Not Applicable
	"Mar., 2005"	"2005/03"	7155	Not Applicable	Not Applicable
	"Apr., 2005"	"2005/04"	5738	Not Applicable	Not Applicable
	"May, 2005"	"2005/05"	5569	Not Applicable	Not Applicable
	"Jun., 2005"	"2005/06"	5002	Not Applicable	Not Applicable
	"Jul., 2005"	"2005/07"	5196	Not Applicable	Not Applicable
	"Aug., 2005"	"2005/08"	5342	Not Applicable	Not Applicable
	"Sep., 2005"	"2005/09"	5164	Not Applicable	Not Applicable
	"Oct., 2005"	"2005/10"	5819	Not Applicable	Not Applicable
	"Nov., 2005"	"2005/11"	6199	Not Applicable	Not Applicable
	"Dec., 2005"	"2005/12"	6906	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	8379	Not Applicable	Not Applicable
	"Feb., 2006"	"2006/02"	7738	Not Applicable	Not Applicable
	"Mar., 2006"	"2006/03"	8738	Not Applicable	Not Applicable
	"Apr., 2006"	"2006/04"	7597	Not Applicable	Not Applicable
	"May, 2006"	"2006/05"	7322	Not Applicable	Not Applicable
	"Jun., 2006"	"2006/06"	6763	Not Applicable	Not Applicable
	"Jul., 2006"	"2006/07"	7043	Not Applicable	Not Applicable
	"Aug., 2006"	"2006/08"	6909	Not Applicable	Not Applicable
	"Sep., 2006"	"2006/09"	6959	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	7662	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	8011	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	8640	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	8493	Not Applicable	Not Applicable
	"Feb., 2007"	"2007/02"	7877	Not Applicable	Not Applicable
	"Mar., 2007"	"2007/03"	8522	Not Applicable	Not Applicable
	"Apr., 2007"	"2007/04"	7265	Not Applicable	Not Applicable
	"May, 2007"	"2007/05"	7321	Not Applicable	Not Applicable
	"Jun., 2007"	"2007/06"	6543	Not Applicable	Not Applicable
	"Jul., 2007"	"2007/07"	6685	Not Applicable	Not Applicable
	"Aug., 2007"	"2007/08"	6898	Not Applicable	Not Applicable
	"Sep., 2007"	"2007/09"	6893	Not Applicable	Not Applicable
	"Oct., 2007"	"2007/10"	7377	Not Applicable	Not Applicable
	"Nov., 2007"	"2007/11"	7613	Not Applicable	Not Applicable
	"Dec., 2007"	"2007/12"	8793	Not Applicable	Not Applicable
	"Jan., 2008"	"2008/01"	9532	Not Applicable	Not Applicable
	"Feb., 2008"	"2008/02"	9929	Not Applicable	Not Applicable
	"Mar., 2008"	"2008/03"	10649	Not Applicable	Not Applicable
	"Apr., 2008"	"2008/04"	8788	Not Applicable	Not Applicable
	"May, 2008"	"2008/05"	8248	Not Applicable	Not Applicable
	"Jun., 2008"	"2008/06"	7634	Not Applicable	Not Applicable
	"Jul., 2008"	"2008/07"	7525	Not Applicable	Not Applicable
	"Aug., 2008"	"2008/08"	7514	Not Applicable	Not Applicable
	"Sep., 2008"	"2008/09"	7739	Not Applicable	Not Applicable
	"Oct., 2008"	"2008/10"	8548	Not Applicable	Not Applicable
	"Nov., 2008"	"2008/11"	8771	Not Applicable	Not Applicable
	"Dec., 2008"	"2008/12"	9740	Not Applicable	Not Applicable
	"Jan., 2009"	"2009/01"	9819	Not Applicable	Not Applicable
	"Feb., 2009"	"2009/02"	9051	Not Applicable	Not Applicable
	"Mar., 2009"	"2009/03"	9442	Not Applicable	Not Applicable
