Category: All categories

Month,depression: (United States),anxiety: (United States),stress: (United States),disorder: (United States),suicide -squad: (United States)
2004-01,81,33,51,68,62
2004-02,90,30,57,70,65
2004-03,94,34,62,83,75
2004-04,94,35,69,85,78
2004-05,78,33,55,71,64
2004-06,63,32,47,65,57
2004-07,60,34,50,65,57
2004-08,57,34,51,59,50
2004-09,73,36,60,74,59
2004-10,80,35,62,76,66
2004-11,84,34,66,83,73
2004-12,74,29,49,74,63
2005-01,76,33,49,67,61
2005-02,83,33,55,75,86
2005-03,88,31,54,82,94
2005-04,92,36,59,86,75
2005-05,86,31,49,79,69
2005-06,60,31,43,60,51
2005-07,56,32,41,54,54
2005-08,49,32,43,54,48
2005-09,65,33,49,64,64
2005-10,87,32,53,72,78
2005-11,85,32,53,79,78
2005-12,72,31,45,71,73
2006-01,82,31,44,69,65
2006-02,84,31,50,72,65
2006-03,87,33,55,77,68
2006-04,82,30,56,74,68
2006-05,77,29,49,69,60
2006-06,54,29,39,58,63
2006-07,52,30,40,54,57
2006-08,54,28,38,51,50
2006-09,62,30,49,61,64
2006-10,68,29,54,70,66
2006-11,72,28,51,69,62
2006-12,60,27,43,61,55
2007-01,66,30,43,61,55
2007-02,65,28,49,64,60
2007-03,72,29,50,65,63
2007-04,72,29,51,71,59
2007-05,69,27,45,63,53
2007-06,52,27,41,53,52
2007-07,51,28,40,51,48
2007-08,42,29,41,48,65
2007-09,60,32,47,58,60
2007-10,68,33,53,68,60
2007-11,67,29,53,67,62
2007-12,57,24,42,59,55
2008-01,63,31,41,60,56
2008-02,66,31,50,62,59
2008-03,69,31,47,64,59
2008-04,72,32,52,69,62
2008-05,63,30,47,61,59
2008-06,48,30,43,53,53
2008-07,48,30,40,49,52
2008-08,43,30,39,46,49
2008-09,73,32,47,56,55
2008-10,84,33,51,64,62
2008-11,77,31,49,67,78
2008-12,73,30,42,60,69
2009-01,69,31,40,53,60
2009-02,82,32,54,64,61
2009-03,84,33,51,64,65
2009-04,72,32,56,68,69
2009-05,63,32,51,59,58
2009-06,49,31,42,55,51
2009-07,50,34,38,50,50
2009-08,46,34,40,51,46
2009-09,55,34,47,55,50
2009-10,62,36,55,67,54
2009-11,69,36,53,70,56
2009-12,62,32,42,64,48
2010-01,63,33,41,60,50
2010-02,68,35,51,65,56
2010-03,67,36,51,68,60
2010-04,66,34,51,72,65
2010-05,61,32,46,64,53
2010-06,46,33,41,53,44
2010-07,44,32,40,48,49
2010-08,44,34,38,45,51
2010-09,51,34,48,54,60
2010-10,58,35,50,57,71
2010-11,58,34,49,62,57
2010-12,50,31,42,59,53
2011-01,58,39,45,58,57
2011-02,66,40,52,64,53
2011-03,67,41,52,65,62
2011-04,67,42,53,71,60
2011-05,63,40,47,64,54
2011-06,53,39,43,55,55
2011-07,50,40,41,52,51
2011-08,56,42,42,51,59
2011-09,56,46,50,54,59
2011-10,59,42,51,60,60
2011-11,61,43,50,65,58
2011-12,56,40,44,57,57
2012-01,60,48,44,57,54
2012-02,67,47,47,63,62
2012-03,65,47,50,65,56
2012-04,64,47,50,67,60
2012-05,61,44,48,64,62
2012-06,46,43,40,56,49
2012-07,48,45,38,50,53
2012-08,48,47,44,50,64
2012-09,53,48,47,57,73
2012-10,58,50,51,63,64
2012-11,61,46,47,62,63
2012-12,54,44,42,60,80
2013-01,63,46,42,56,59
2013-02,62,49,50,65,63
2013-03,63,50,52,61,59
2013-04,67,51,53,69,67
2013-05,60,50,47,65,59
2013-06,49,47,40,53,56
2013-07,46,50,39,52,51
2013-08,45,51,44,51,61
2013-09,53,53,50,57,67
2013-10,59,51,54,62,59
2013-11,61,49,50,64,59
2013-12,56,46,42,59,55
2014-01,60,53,44,58,58
2014-02,65,51,46,64,62
2014-03,67,51,52,66,57
2014-04,68,51,53,71,58
2014-05,62,53,49,68,59
2014-06,50,50,43,56,50
2014-07,48,51,43,55,51
2014-08,65,51,43,53,86
2014-09,58,56,50,61,61
2014-10,64,55,54,64,59
2014-11,64,51,49,65,63
2014-12,60,52,45,61,57
2015-01,63,54,45,58,57
2015-02,67,54,49,66,56
2015-03,74,60,52,71,60
2015-04,71,59,54,69,63
2015-05,65,54,45,62,62
2015-06,56,55,43,55,51
2015-07,53,63,43,54,54
2015-08,54,62,43,53,55
2015-09,64,59,54,58,66
2015-10,71,64,54,65,59
2015-11,71,59,53,64,62
2015-12,63,56,47,62,61
2016-01,67,64,44,54,64
2016-02,75,66,54,66,62
2016-03,76,69,51,62,63
2016-04,80,70,57,68,66
2016-05,69,70,49,61,58
2016-06,53,65,47,50,54
2016-07,51,65,41,50,54
2016-08,57,65,43,48,63
2016-09,64,71,55,54,65
2016-10,71,69,54,61,62
2016-11,72,69,54,61,59
2016-12,66,65,51,59,57
2017-01,71,73,50,58,60
2017-02,75,73,56,65,55
2017-03,79,74,56,68,55
2017-04,80,77,57,67,76
2017-05,73,74,49,61,72
2017-06,55,68,42,53,57
2017-07,60,72,44,55,61
2017-08,64,73,46,52,60
2017-09,64,72,51,55,63
2017-10,73,81,58,68,62
2017-11,73,76,56,67,57
2017-12,68,73,51,64,59
2018-01,71,74,51,58,89
2018-02,76,79,56,72,58
2018-03,77,85,56,64,55
2018-04,80,79,57,71,61
2018-05,73,79,50,61,55
2018-06,71,79,45,60,100
2018-07,62,84,45,56,53
2018-08,61,86,47,54,55
2018-09,69,83,52,58,59
2018-10,78,87,59,67,58
2018-11,80,84,57,67,53
2018-12,74,80,53,61,57
2019-01,74,83,49,62,54
2019-02,83,90,54,66,59
2019-03,84,87,59,66,62
2019-04,81,83,58,69,53
2019-05,74,83,52,69,51
2019-06,60,77,48,57,49
2019-07,57,82,44,55,47
2019-08,59,82,47,54,57
2019-09,70,82,55,61,60
2019-10,75,85,58,70,54
2019-11,72,78,54,70,51
2019-12,67,76,48,62,48
2020-01,69,86,51,64,50
2020-02,76,87,58,71,54
2020-03,77,80,51,58,42
2020-04,81,82,54,65,46
2020-05,68,78,47,59,44
2020-06,60,84,48,61,48
2020-07,61,87,47,61,48
2020-08,60,87,47,56,42
2020-09,67,89,60,65,61
2020-10,65,85,57,68,44
2020-11,63,81,52,62,39
2020-12,61,84,47,63,41
2021-01,61,87,46,56,46
2021-02,68,91,51,67,45
2021-03,63,90,53,66,40
2021-04,60,90,52,75,42
2021-05,60,86,48,64,39
2021-06,55,83,46,61,36
2021-07,52,85,45,59,36
2021-08,53,88,47,59,45
2021-09,56,90,52,62,47
2021-10,64,91,52,67,42
2021-11,61,84,52,69,41
2021-12,54,83,47,65,42
2022-01,59,89,47,67,47
2022-02,73,97,58,81,49
2022-03,70,94,60,84,44
2022-04,79,95,61,96,48
2022-05,69,84,51,82,53
2022-06,57,81,49,67,42
2022-07,56,88,49,64,44
2022-08,52,92,48,64,45
2022-09,66,88,58,70,52
2022-10,62,83,60,78,44
2022-11,62,79,57,77,42
2022-12,64,80,51,73,61
2023-01,66,85,51,73,49
2023-02,77,93,64,79,49
2023-03,70,93,60,79,44
2023-04,66,88,61,81,40
2023-05,61,84,55,76,45
2023-06,52,84,49,69,41
2023-07,47,80,48,64,44
2023-08,50,83,47,63,44
2023-09,56,85,58,68,48
2023-10,59,85,60,74,47
2023-11,62,86,60,78,42
2023-12,53,76,52,69,38
2024-01,57,83,50,67,40
2024-02,67,84,64,79,44
2024-03,66,84,62,79,43
